# Melendez & Barbuy 2009, A&A 497, 611, Table 1
# air_wavelength_angstrom lower_excitation_ev log_gf normalization c6_cgs
4087.284 2.5828 -4.57 L 0.857E-32
4122.668 2.5828 -3.26 L 0.869E-32
4128.748 2.5828 -3.63 L 0.956E-32
4173.461 2.5828 -2.65 L 0.943E-32
4178.862 2.5828 -2.51 L 0.857E-32
4233.172 2.5828 -1.97 L 0.943E-32
4258.154 2.7045 -3.33 L 0.869E-32
4273.326 2.7045 -3.38 L 0.956E-32
4278.159 2.6921 -3.73 L 0.845E-32
4296.572 2.7045 -2.92 L 0.869E-32
4303.176 2.7045 -2.56 L 0.943E-32
4351.769 2.7045 -2.25 L 0.943E-32
4369.411 2.7786 -3.65 L 0.869E-32
4384.319 2.6570 -3.44 L 0.845E-32
4385.387 2.7786 -2.66 L 0.943E-32
4413.601 2.6759 -3.79 L 0.845E-32
4416.830 2.7786 -2.65 L 0.943E-32
4472.929 2.8443 -3.36 L 0.869E-32
4489.183 2.8283 -2.96 L 0.869E-32
4491.405 2.8557 -2.71 L 0.869E-32
4508.288 2.8557 -2.44 L 0.956E-32
4515.339 2.8443 -2.60 L 0.869E-32
4520.224 2.8068 -2.65 L 0.857E-32
4522.634 2.8443 -2.25 L 0.943E-32
4534.168 2.8557 -3.28 L 0.869E-32
4541.524 2.8557 -2.98 L 0.943E-32
4549.192 5.9113 -1.62 L 0.142E-31
4549.474 2.8283 -2.09 L 0.943E-32
4555.893 2.8283 -2.40 L 0.857E-32
4576.340 2.8443 -2.95 L 0.943E-32
4582.835 2.8443 -3.18 L 0.857E-32
4583.837 2.8068 -1.93 L 0.930E-32
4601.378 2.8912 -4.48 L 0.918E-32
4620.521 2.8283 -3.21 L 0.930E-32
4625.893 5.9560 -2.35 L 0.143E-31
4629.339 2.8068 -2.34 L 0.845E-32
4635.316 5.9560 -1.42 L 0.143E-31
4648.944 2.5828 -4.58 S 0.775E-32
4656.981 2.8912 -3.60 L 0.918E-32
4666.758 2.8283 -3.28 L 0.845E-32
4670.182 2.5828 -4.09 S 0.775E-32
4720.149 3.1974 -4.48 S 0.930E-32
4731.453 2.8912 -3.10 L 0.905E-32
4825.736 2.6350 -4.87 S 0.775E-32
4831.126 3.3394 -4.89 S 0.943E-32
4833.197 2.6572 -4.64 S 0.775E-32
4833.865 2.8443 -5.11 S 0.787E-32
4839.998 2.6757 -4.75 S 0.787E-32
4855.554 2.7045 -4.46 S 0.787E-32
4871.277 2.7045 -4.25 S 0.787E-32
4893.820 2.8283 -4.21 S 0.787E-32
4923.927 2.8912 -1.26 L 0.810E-32
4924.921 2.8443 -4.90 S 0.787E-32
4991.126 2.7786 -4.55 S 0.787E-32
4993.358 2.8066 -3.62 S 0.775E-32
5000.743 2.7786 -4.61 S 0.787E-32
5018.440 2.8912 -1.10 L 0.798E-32
5036.920 2.8283 -4.67 S 0.775E-32
5100.664 2.8066 -4.17 S 0.787E-32
5120.352 2.8283 -4.24 S 0.787E-32
5132.669 2.8066 -4.08 S 0.775E-32
5136.802 2.8443 -4.43 S 0.787E-32
5146.127 2.8283 -3.91 S 0.787E-32
5150.941 2.8557 -4.48 S 0.787E-32
5154.409 2.8443 -4.13 S 0.787E-32
5161.184 2.8557 -4.47 S 0.787E-32
5169.033 2.8912 -1.00 L 0.798E-32
5171.640 2.8066 -4.54 S 0.775E-32
5197.577 3.2306 -2.22 L 0.869E-32
5234.625 3.2215 -2.18 L 0.869E-32
5238.624 2.8912 -5.11 S 0.798E-32
5256.938 2.8912 -4.06 S 0.798E-32
5264.812 3.2304 -3.13 L 0.943E-32
5276.002 3.1996 -2.01 L 0.857E-32
5284.109 2.8912 -3.11 S 0.798E-32
5316.615 3.1529 -1.87 L 0.845E-32
5316.784 3.2215 -2.74 L 0.943E-32
5325.553 3.2215 -3.16 L 0.857E-32
5337.732 3.2304 -3.72 L 0.943E-32
5362.869 3.1996 -2.57 L 0.930E-32
5414.073 3.2215 -3.58 L 0.930E-32
5425.257 3.1996 -3.22 L 0.845E-32
5432.967 3.2675 -3.38 S 0.857E-32
5525.125 3.2676 -3.97 L 0.918E-32
5534.847 3.2449 -2.75 S 0.845E-32
5591.368 3.2675 -4.44 S 0.845E-32
5627.497 3.3866 -4.10 L 0.869E-32
