# H2 internal partition function Q(T), including nuclear-spin normalization.
# Barklem & Collet (2016), A&A 588, A96, CDS table 6.
# https://doi.org/10.26093/cds/vizier.35880096
# temperature_K,partition_function
1.0e-5,0.25
1.0e-4,0.25
1.0e-3,0.25
1.0e-2,0.25
1.0e-1,0.25
0.15,0.25
0.2,0.25
0.3,0.25
0.5,0.25
0.7,0.25
1.0,0.25
1.3,0.25
1.7,0.25
2.0,0.25
3.0,0.25
5.0,0.25
7.0,0.25
10.0,0.25
15.0,0.250026
20.0,0.250448
30.0,0.257673
50.0,0.324494
70.0,0.448016
100.0,0.667129
130.0,0.883429
170.0,1.15156
200.0,1.34083
250.0,1.64454
300.0,1.94229
500.0,3.12970
700.0,4.32810
1000.0,6.15984
1500.0,9.41007
2000.0,13.0843
3000.0,22.2684
4000.0,34.6011
5000.0,50.7619
6000.0,71.1512
7000.0,95.8762
8000.0,124.852
9000.0,157.911
10000.0,194.871
