# Leiden photodissociation database H2, accessed 2026-08-13.
# The original 0.1-nm table was conservatively averaged into 1-nm bins here.
# This retained segment covers the Lyman/Werner absorption relevant above the
# H I Lyman edge; shorter-wavelength H2 absorption is hidden by enormous H I
# continuum opacity in the present pure-H white-dwarf models.
# wavelength_nm,photoabsorption_cross_section_cm2
70.150,1.0063991e-17
71.150,1.0615276e-17
72.150,1.0854323e-17
73.150,1.1062839e-17
74.150,1.1493012e-17
75.150,1.1637457e-17
76.150,1.2515252e-17
77.150,1.3084486e-17
78.150,1.4375609e-17
79.150,1.4863403e-17
80.150,1.2225300e-17
81.150,1.0948606e-17
82.150,1.1079060e-17
83.150,1.0915496e-17
84.150,1.2947025e-17
85.150,2.9226030e-17
86.150,8.7808971e-18
87.150,2.6224202e-17
88.150,1.7906412e-17
89.150,1.8968396e-17
90.150,1.7485668e-17
91.150,1.9330476e-17
92.150,1.0928195e-17
93.150,3.5524102e-17
94.150,1.9616818e-17
95.150,4.7292856e-17
96.150,5.0599725e-17
97.150,3.5726463e-17
98.150,5.4620193e-17
99.150,4.5637378e-17
100.150,2.3200239e-17
101.150,6.5095430e-17
102.150,2.3559961e-17
103.150,9.4686195e-18
104.150,2.2161406e-17
105.150,2.2215849e-17
106.150,1.6271741e-17
107.150,2.0839810e-18
108.150,1.1886656e-17
109.150,5.5063600e-18
110.150,6.1288091e-19
111.150,1.7810683e-18
112.150,1.1938915e-20
113.150,3.0206149e-23
114.150,2.1910878e-24
115.150,1.3763984e-24
116.150,8.6628152e-25
117.150,4.9789361e-25
118.150,2.5012452e-25
119.150,1.3438036e-25
119.850,4.7265050e-26
