# Leiden photodissociation database H2+, v=0 theory, accessed 2026-08-13.
# wavelength_nm,photoabsorption_cross_section_cm2
90.000,3.08000e-18
92.500,3.82000e-18
95.000,4.61000e-18
97.500,5.37000e-18
100.000,6.06000e-18
105.000,7.14000e-18
110.000,7.61000e-18
115.000,7.57000e-18
120.000,7.08000e-18
125.000,6.28000e-18
130.000,5.29000e-18
135.000,4.52000e-18
140.000,3.31000e-18
145.000,2.48000e-18
150.000,1.81000e-18
155.000,1.28000e-18
160.000,8.91000e-19
165.000,6.03000e-19
170.000,3.99000e-19
175.000,2.59000e-19
180.000,1.65000e-19
185.000,1.04000e-19
190.000,6.43000e-20
200.000,2.39000e-20
210.000,8.45000e-21
220.000,2.83000e-21
240.000,2.89000e-22
260.000,2.54000e-23
280.000,1.89000e-24
300.000,1.00000e-25
300.010,0.00000e+00
