# Ca I 4227-A absolute cross sections recovered from Blouin et al. 2019, Fig. 5 vector paths
# T=4000 K; original profile calculation covers n_He=1e21--1e23 cm^-3
# helium_density_cm-3 wavelength_vacuum_angstrom cross_section_cm2
1.00000000e+21 3300.48215816 1.0022137992e-19
1.00000000e+21 3300.98360765 1.0073520389e-19
1.00000000e+21 3303.97300045 1.1087610040e-19
1.00000000e+21 3305.47733907 1.1235702786e-19
1.00000000e+21 3307.98457174 1.0920318404e-19
1.00000000e+21 3309.46962593 1.0882650976e-19
1.00000000e+21 3309.97107049 1.0942981412e-19
1.00000000e+21 3315.48698040 1.3021045465e-19
1.00000000e+21 3316.47059002 1.3120403041e-19
1.00000000e+21 3318.47637320 1.2711642950e-19
1.00000000e+21 3319.47926726 1.2838769522e-19
1.00000000e+21 3320.98360588 1.3116776698e-19
1.00000000e+21 3322.97010462 1.3770686197e-19
1.00000000e+21 3325.47733730 1.3343510731e-19
1.00000000e+21 3327.48312541 1.3454623523e-19
1.00000000e+21 3329.97106872 1.3264444887e-19
1.00000000e+21 3331.97685683 1.3523603895e-19
1.00000000e+21 3333.98264001 1.4068872839e-19
1.00000000e+21 3338.47637636 1.7145638593e-19
1.00000000e+21 3339.98071497 1.7188346275e-19
1.00000000e+21 3340.98360410 1.7269307275e-19
1.00000000e+21 3343.97299690 1.8380009949e-19
1.00000000e+21 3345.47734045 1.9251021875e-19
1.00000000e+21 3349.97107187 2.3916161496e-19
1.00000000e+21 3351.97685505 2.4249002538e-19
1.00000000e+21 3354.48408773 2.4121980910e-19
1.00000000e+21 3357.47348053 2.4890774414e-19
1.00000000e+21 3358.97781915 2.5528354144e-19
1.00000000e+21 3361.48505182 2.7268061159e-19
1.00000000e+21 3363.47155057 2.7877774574e-19
1.00000000e+21 3365.47733868 2.7800821011e-19
1.00000000e+21 3368.48601591 2.8925742605e-19
1.00000000e+21 3370.47251466 2.9170641247e-19
1.00000000e+21 3372.47830277 2.9744683783e-19
1.00000000e+21 3375.48698001 3.2711908010e-19
1.00000000e+21 3377.97492824 3.5505866410e-19
1.00000000e+21 3379.98071143 3.6733814781e-19
1.00000000e+21 3381.98649954 3.7690377971e-19
1.00000000e+21 3384.47444285 4.0025884672e-19
1.00000000e+21 3386.48023096 4.2260085846e-19
1.00000000e+21 3389.97106832 4.3776042670e-19
1.00000000e+21 3390.97396238 4.4360741659e-19
1.00000000e+21 3395.96914329 4.9918243930e-19
1.00000000e+21 3404.47444600 6.1307696463e-19
1.00000000e+21 3423.47155017 8.6145797505e-19
1.00000000e+21 3426.98167690 8.8989699379e-19
1.00000000e+21 3429.97106970 9.1673730195e-19
1.00000000e+21 3431.47540832 9.1800520427e-19
1.00000000e+21 3441.98649914 9.1547115079e-19
1.00000000e+21 3445.97878600 9.0153374640e-19
1.00000000e+21 3447.48312462 9.0140916640e-19
1.00000000e+21 3452.47830060 9.0929223003e-19
1.00000000e+21 3456.97203202 9.0165837546e-19
1.00000000e+21 3459.98071419 9.0427915411e-19
1.00000000e+21 3467.98457233 9.1902078209e-19
1.00000000e+21 3469.97107108 9.1243950541e-19
1.00000000e+21 3471.47540970 9.1080157152e-19
1.00000000e+21 3473.98264237 9.0979507646e-19
1.00000000e+21 3478.47637379 8.9718323036e-19
1.00000000e+21 3482.46866065 8.7538051529e-19
1.00000000e+21 3484.47444383 8.7429229962e-19
1.00000000e+21 3485.97878245 8.7695474995e-19
1.00000000e+21 3488.48601512 8.8266989929e-19
1.00000000e+21 3492.47830198 8.8780856054e-19
1.00000000e+21 3502.68080736 9.8029443125e-19
1.00000000e+21 3506.76952625 1.0241985383e-18
1.00000000e+21 3509.97106753 1.0602057511e-18
1.00000000e+21 3513.57762629 1.1116764106e-18
1.00000000e+21 3515.77627845 1.1436241385e-18
1.00000000e+21 3522.46865710 1.2533698198e-18
1.00000000e+21 3525.78591978 1.2750352801e-18
1.00000000e+21 3529.87463866 1.2854749704e-18
1.00000000e+21 3532.88331590 1.2778579973e-18
1.00000000e+21 3535.17840009 1.2590994160e-18
1.00000000e+21 3539.07424999 1.2183562899e-18
1.00000000e+21 3544.28157939 1.1682263633e-18
1.00000000e+21 3548.08100219 1.1333962005e-18
1.00000000e+21 3549.97106891 1.1302675836e-18
1.00000000e+21 3552.67116564 1.1475824920e-18
1.00000000e+21 3562.87367102 1.2762694480e-18
1.00000000e+21 3566.48022977 1.3694766165e-18
1.00000000e+21 3570.87752917 1.4891181902e-18
1.00000000e+21 3583.78013620 1.7772965341e-18
1.00000000e+21 3586.67309698 1.8065198591e-18
1.00000000e+21 3590.47251486 1.8266050812e-18
1.00000000e+21 3593.98264158 1.8115203639e-18
1.00000000e+21 3596.87560236 1.7802466829e-18
1.00000000e+21 3599.57569909 1.7343456501e-18
1.00000000e+21 3601.67791429 1.7058183168e-18
1.00000000e+21 3604.57087507 1.6886942452e-18
1.00000000e+21 3607.36740382 1.6868280684e-18
1.00000000e+21 3610.47251801 1.6968828639e-18
1.00000000e+21 3612.16972068 1.7110129828e-18
1.00000000e+21 3616.18129197 1.7592117861e-18
1.00000000e+21 3619.67212934 1.8481903690e-18
1.00000000e+21 3628.27386408 2.1816019177e-18
1.00000000e+21 3633.07618094 2.3836961490e-18
1.00000000e+21 3637.78206084 2.5265098717e-18
1.00000000e+21 3641.58148365 2.6091953276e-18
1.00000000e+21 3645.28447443 2.6576011225e-18
1.00000000e+21 3648.67887977 2.6882632114e-18
