# Ca I 4227-A absolute cross sections recovered from Blouin et al. 2019, Fig. 6 vector paths
# n_He=5e21 cm^-3; T=3000,4000,5000,6000 K
# temperature_kelvin wavelength_vacuum_angstrom cross_section_cm2
3000.0 3299.98215078 8.8631816631e-19
3000.0 3320.98248252 1.0880795099e-18
3000.0 3349.97792687 1.4789307929e-18
3000.0 3359.98497120 1.6631122753e-18
3000.0 3387.48132984 2.3188686487e-18
3000.0 3413.97830024 3.0917874852e-18
3000.0 3420.97402798 3.3048750001e-18
3000.0 3427.48321012 3.4764031587e-18
3000.0 3433.97924038 3.6233859679e-18
3000.0 3441.47466224 3.7719591057e-18
3000.0 3450.98201245 3.9391523848e-18
3000.0 3467.48508704 4.2443064697e-18
3000.0 3476.47959125 4.4525750084e-18
3000.0 3488.98510953 4.7980902753e-18
3000.0 3520.97872532 5.8178878523e-18
3000.0 3538.07354374 6.4382634588e-18
3000.0 3546.77875366 6.8366114457e-18
3000.0 3555.57600993 7.3194425804e-18
3000.0 3567.77908203 8.0228959969e-18
3000.0 3576.87878448 8.5046881129e-18
3000.0 3594.57849861 9.4949526575e-18
3000.0 3601.37697841 1.0012258899e-17
3000.0 3617.38035888 1.1381202011e-17
3000.0 3626.78251086 1.2128394728e-17
3000.0 3642.57549151 1.3485959714e-17
3000.0 3660.48560546 1.5499820960e-17
3000.0 3672.88592215 1.6987388499e-17
3000.0 3684.68134985 1.8354999579e-17
3000.0 3696.47677419 1.9859459590e-17
3000.0 3707.18076058 2.1624561210e-17
3000.0 3719.27863446 2.3784295536e-17
3000.0 3727.18170072 2.5015672005e-17
3000.0 3739.88446695 2.7069388065e-17
3000.0 3746.27529898 2.8411606187e-17
3000.0 3761.17409298 3.1985148543e-17
3000.0 3769.87930290 3.3872709393e-17
3000.0 3783.58145736 3.7032727901e-17
3000.0 3798.67749931 4.1522396657e-17
3000.0 3809.38148570 4.4832289042e-17
3000.0 3831.27600408 5.2111181482e-17
3000.0 3847.47663250 5.8687164674e-17
3000.0 3867.17512646 6.7211705243e-17
3000.0 3885.78217912 7.6673274744e-17
3000.0 3911.17456305 9.1466954375e-17
3000.0 4030.07561070 2.1184015354e-16
3000.0 4066.38237749 2.7683154275e-16
3000.0 4095.68026802 3.4930536679e-16
3000.0 4113.07753597 4.0477626520e-16
3000.0 4131.57939040 4.7869339463e-16
3000.0 4144.47940457 5.4434361342e-16
3000.0 4157.37941874 6.2693496069e-16
3000.0 4168.08340513 7.1413956766e-16
3000.0 4180.27332872 8.4361950131e-16
3000.0 4186.67730927 9.3174845066e-16
3000.0 4193.08129317 1.0438135723e-15
3000.0 4199.87977297 1.2069102351e-15
3000.0 4207.28314176 1.4698986820e-15
3000.0 4221.07734929 2.2141983533e-15
3000.0 4224.87765766 2.3912855738e-15
3000.0 4228.17827190 2.4832454695e-15
3000.0 4231.58408774 2.4917788774e-15
3000.0 4235.27919787 2.3956842130e-15
3000.0 4239.27675754 2.2006759618e-15
3000.0 4243.77400797 1.9295828073e-15
3000.0 4251.28257834 1.4958781201e-15
3000.0 4258.88319843 1.1634980080e-15
3000.0 4264.48504205 9.8492263048e-16
3000.0 4277.88475034 6.9497760780e-16
3000.0 4287.37894867 5.4970515536e-16
3000.0 4305.27591074 3.4981929701e-16
3000.0 4322.14718418 2.2500224014e-16
3000.0 4364.14784094 7.3761567869e-17
3000.0 4386.31850846 4.2085776574e-17
3000.0 4396.43075102 3.2722399545e-17
3000.0 4414.69590858 2.1052062742e-17
3000.0 4435.06504421 1.3398673720e-17
3000.0 4454.51368944 8.9988599676e-18
3000.0 4482.28619721 5.2540704329e-18
3000.0 4509.20396390 3.2236933244e-18
3000.0 4522.72201893 2.5567207354e-18
3000.0 4575.09791887 1.0703620206e-18
3000.0 4589.86521424 8.3283649474e-19
3000.0 4602.56797711 6.6760327966e-19
3000.0 4625.93528417 4.4069867068e-19
3000.0 4650.49922405 2.9277356633e-19
3000.0 4658.00779443 2.6092513021e-19
3000.0 4666.59465423 2.3211425559e-19
3000.0 4674.11637649 2.1282871139e-19
3000.0 4682.74268521 1.9632058423e-19
3000.0 4692.44728337 1.7998695773e-19
3000.0 4697.86502420 1.6941663193e-19
