# Mg I 2852-A absolute cross sections recovered from Allard et al. 2018 A&A 619 A152 Fig. 6 vector paths
# T=6000 K; n_He=1e21,5e21,1e22 cm^-3; figure-resolution bridge
# helium_density_cm-3 wavelength_vacuum_angstrom cross_section_cm2
1.00000000e+22 2459.20000000 9.9825713790e-20
1.00000000e+22 2459.40000000 1.0741392987e-19
1.00000000e+22 2460.00000000 1.2721708923e-19
1.00000000e+22 2460.60000000 1.4729290178e-19
1.00000000e+22 2461.20000000 1.6758780942e-19
1.00000000e+22 2461.80000000 1.8803661489e-19
1.00000000e+22 2462.40000000 2.0878388266e-19
1.00000000e+22 2463.00000000 2.2980720269e-19
1.00000000e+22 2463.60000000 2.5118864315e-19
1.00000000e+22 2464.20000000 2.7312637228e-19
1.00000000e+22 2464.80000000 2.9491507296e-19
1.00000000e+22 2465.40000000 3.1733293719e-19
1.00000000e+22 2466.00000000 3.3967267081e-19
1.00000000e+22 2466.60000000 3.6295140745e-19
1.00000000e+22 2467.20000000 3.8647482760e-19
1.00000000e+22 2467.80000000 4.1008963050e-19
1.00000000e+22 2468.40000000 4.3438896876e-19
1.00000000e+22 2469.00000000 4.5932619345e-19
1.00000000e+22 2469.60000000 4.8484850475e-19
1.00000000e+22 2470.20000000 5.1000655447e-19
1.00000000e+22 2470.80000000 5.3647001704e-19
1.00000000e+22 2471.40000000 5.6332311970e-19
1.00000000e+22 2472.00000000 5.9152035922e-19
1.00000000e+22 2472.80000000 6.1896581889e-19
1.00000000e+22 2473.40000000 6.4768469755e-19
1.00000000e+22 2474.00000000 6.7773607950e-19
1.00000000e+22 2474.60000000 7.0794578438e-19
1.00000000e+22 2475.20000000 7.3950206989e-19
1.00000000e+22 2475.80000000 7.7111865919e-19
1.00000000e+22 2476.40000000 8.0268556792e-19
1.00000000e+22 2477.00000000 8.3700349748e-19
1.00000000e+22 2477.60000000 8.6974900262e-19
1.00000000e+22 2478.20000000 9.0535349365e-19
1.00000000e+22 2478.80000000 9.4077300810e-19
1.00000000e+22 2479.40000000 9.7757821556e-19
1.00000000e+22 2480.00000000 1.0140528876e-18
1.00000000e+22 2480.60000000 1.0518884754e-18
1.00000000e+22 2481.20000000 1.0892340575e-18
1.00000000e+22 2482.00000000 1.1298747493e-18
1.00000000e+22 2482.60000000 1.1699891066e-18
1.00000000e+22 2483.20000000 1.2094161330e-18
1.00000000e+22 2483.80000000 1.2523544772e-18
1.00000000e+22 2484.40000000 1.2923008690e-18
1.00000000e+22 2485.00000000 1.3358496339e-18
1.00000000e+22 2485.60000000 1.3784592734e-18
1.00000000e+22 2486.20000000 1.4224280340e-18
1.00000000e+22 2486.80000000 1.4677992676e-18
1.00000000e+22 2487.40000000 1.5146177090e-18
1.00000000e+22 2488.00000000 1.5602055490e-18
1.00000000e+22 2488.80000000 1.6071655183e-18
1.00000000e+22 2489.40000000 1.6526535399e-18
1.00000000e+22 2490.00000000 1.7023960622e-18
1.00000000e+22 2490.60000000 1.7505794185e-18
1.00000000e+22 2491.20000000 1.8001265208e-18
1.00000000e+22 2491.80000000 1.8478497974e-18
1.00000000e+22 2492.40000000 1.9001499684e-18
1.00000000e+22 2493.00000000 1.9505249735e-18
1.00000000e+22 2493.60000000 2.0022354737e-18
1.00000000e+22 2494.20000000 2.0553168745e-18
1.00000000e+22 2495.00000000 2.1098055199e-18
1.00000000e+22 2495.60000000 2.1619641336e-18
1.00000000e+22 2496.20000000 2.2192801118e-18
1.00000000e+22 2496.80000000 2.2741451564e-18
1.00000000e+22 2497.40000000 2.3303665747e-18
1.00000000e+22 2498.00000000 2.3879778990e-18
1.00000000e+22 2498.60000000 2.4470134905e-18
1.00000000e+22 2499.20000000 2.5075085599e-18
1.00000000e+22 2500.00000000 2.5650209057e-18
1.00000000e+22 2500.60000000 2.6284333545e-18
1.00000000e+22 2501.20000000 2.6887192376e-18
1.00000000e+22 2501.80000000 2.7551897567e-18
1.00000000e+22 2502.40000000 2.8183829313e-18
1.00000000e+22 2503.00000000 2.8830255077e-18
1.00000000e+22 2503.60000000 2.9491507296e-18
1.00000000e+22 2504.20000000 3.0220596363e-18
1.00000000e+22 2505.00000000 3.0859859140e-18
1.00000000e+22 2505.60000000 3.1567662463e-18
1.00000000e+22 2506.20000000 3.2291699999e-18
1.00000000e+22 2506.80000000 3.3032344098e-18
1.00000000e+22 2507.40000000 3.3789975648e-18
1.00000000e+22 2508.00000000 3.4504742274e-18
1.00000000e+22 2508.60000000 3.5296144824e-18
1.00000000e+22 2509.40000000 3.6042771771e-18
1.00000000e+22 2510.00000000 3.6869450645e-18
1.00000000e+22 2510.60000000 3.7649358068e-18
1.00000000e+22 2511.20000000 3.8445763040e-18
1.00000000e+22 2511.80000000 3.9327557047e-18
1.00000000e+22 2512.40000000 4.0159461323e-18
1.00000000e+22 2513.20000000 4.1008963050e-18
1.00000000e+22 2513.80000000 4.1876434469e-18
1.00000000e+22 2514.40000000 4.2762255698e-18
1.00000000e+22 2515.00000000 4.3666814894e-18
1.00000000e+22 2515.60000000 4.4512793318e-18
1.00000000e+22 2516.20000000 4.5454382013e-18
1.00000000e+22 2516.80000000 4.6415888336e-18
1.00000000e+22 2517.60000000 4.7315125896e-18
1.00000000e+22 2518.20000000 4.8315992935e-18
1.00000000e+22 2518.80000000 4.9252042145e-18
1.00000000e+22 2519.40000000 5.0206225891e-18
1.00000000e+22 2520.00000000 5.1268248990e-18
1.00000000e+22 2520.80000000 5.2261493691e-18
1.00000000e+22 2521.40000000 5.3273981004e-18
1.00000000e+22 2522.00000000 5.4306083726e-18
1.00000000e+22 2522.60000000 5.5358181875e-18
1.00000000e+22 2523.20000000 5.6430662834e-18
1.00000000e+22 2523.80000000 5.7523921486e-18
1.00000000e+22 2524.60000000 5.8638360371e-18
1.00000000e+22 2525.20000000 5.9774389821e-18
1.00000000e+22 2525.80000000 6.0932428121e-18
1.00000000e+22 2526.40000000 6.2004647439e-18
1.00000000e+22 2527.00000000 6.3205893604e-18
1.00000000e+22 2527.80000000 6.4430412095e-18
1.00000000e+22 2528.40000000 6.5564184942e-18
1.00000000e+22 2529.00000000 6.6834391757e-18
1.00000000e+22 2529.60000000 6.8010467094e-18
1.00000000e+22 2530.20000000 6.9328066921e-18
1.00000000e+22 2531.00000000 7.0548023107e-18
1.00000000e+22 2531.60000000 7.1914784241e-18
1.00000000e+22 2532.20000000 7.3180258525e-18
1.00000000e+22 2532.80000000 7.4598015235e-18
1.00000000e+22 2533.40000000 7.5910705956e-18
1.00000000e+22 2534.20000000 7.7246495909e-18
1.00000000e+22 2534.80000000 7.8605791570e-18
1.00000000e+22 2535.40000000 8.0128659767e-18
1.00000000e+22 2536.00000000 8.1538672457e-18
1.00000000e+22 2536.60000000 8.2973496941e-18
1.00000000e+22 2537.40000000 8.4433569829e-18
