obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"300.086"	"300.08635"	"9"	"1.58e+08"	"7.11e-02"	"-0.671"	C	"15210.063"	"48524.093"	"3p6.4s.4p"	"3P*"	"1"	"3p6.3d2"	"3P"	"0"		"T539n,LS"	"L6097"	
"300.686"	"300.68615"	"10"	"7.5e+07"	"1.0e-01"	"-0.29"	C	"15315.943"	"48563.522"	"3p6.4s.4p"	"3P*"	"2"	"3p6.3d2"	"3P"	"2"		"T539n,LS"	"L6097"	
"300.921"	"300.92056"	"9"	"4.30e+07"	"3.50e-02"	"-0.756"	C	"15315.943"	"48537.623"	"3p6.4s.4p"	"3P*"	"2"	"3p6.3d2"	"3P"	"1"		"T539n,LS"	"L6097"	
""	"310.23627"	""	"6.2e+05"	"2.7e-03"	"-2.57"	D	"15157.901"	"47382.048"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.10s"	"3S"	"1"		"T539n"	""	
""	"310.73929"	""	"1.0e+06"	"1.4e-03"	"-2.36"	D	"15210.063"	"47382.048"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.10s"	"3S"	"1"		"T539n"	""	
""	"311.76537"	""	"1.7e+06"	"1.5e-03"	"-2.13"	D	"15315.943"	"47382.048"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.10s"	"3S"	"1"		"T539n"	""	
"313.602"	"313.60191"	"5"	"4.1e+06"	"1.8e-02"	"-1.74"	D	"15157.901"	"47036.225"	"3p6.4s.4p"	"3P*"	"0"	"3p6.4s.8d"	"3D"	"1"		"T539n"	"L6097"	
"314.079"	"314.07859"	"6"	"4.9e+06"	"1.2e-02"	"-1.44"	D	"15210.063"	"47040.007"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.8d"	"3D"	"2"		"T539n"	"L6097"	
""	"314.11591"	""	"3.0e+06"	"4.4e-03"	"-1.88"	D	"15210.063"	"47036.225"	"3p6.4s.4p"	"3P*"	"1"	"3p6.4s.8d"	"3D"	"1"		"T539n"	""	
"315.075"	"315.07489"	"7"	"8.6e+06"	"1.8e-02"	"-1.05"	D	"15315.943"	"47045.241"	"3p6.4s.4p"	"3P*"	"2"	"3p6.4s.8d"	"3D"	"3"		"T539n"	"L6097"	
