obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"310.4721"	""	"5.31e+06"	"7.68e-03"	"-1.336"	B+	"71490.19"	"103689.86"	"2p6.3d"	"2D"	"5/2"	"2p6.5f"	"2F*"	"5/2"		"c31"	""	
"310.4722"	"310.4715"	"9"	"7.97e+07"	"1.54e-01"	"-0.034"	A	"71490.19"	"103689.92"	"2p6.3d"	"2D"	"5/2"	"2p6.5f"	"2F*"	"7/2"		"c31"	"L7414"	
"310.4809"	"310.4805"	"8"	"7.44e+07"	"1.61e-01"	"-0.191"	A	"71491.06"	"103689.86"	"2p6.3d"	"2D"	"3/2"	"2p6.5f"	"2F*"	"5/2"		"c31"	"L7414"	
"316.5878"	"316.5879"	"3"	"2.89e+06"	"8.68e-03"	"-1.760"	B	"80619.50"	"112197.17"	"2p6.4p"	"2P*"	"1/2"	"2p6.7d"	"2D"	"3/2"		"c31"	"L6095"	
""	"316.8941"	""	"5.69e+05"	"8.57e-04"	"-2.465"	C+	"80650.02"	"112197.17"	"2p6.4p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"3/2"		"c31"	""	
"316.8951"	"316.8954"	"6"	"3.43e+06"	"7.75e-03"	"-1.509"	B	"80650.02"	"112197.05"	"2p6.4p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"5/2"		"c31"	"L7414"	
"317.2706"	"317.2708"	"6"	"3.41e+06"	"5.15e-03"	"-1.987"	B	"80619.50"	"112129.20"	"2p6.4p"	"2P*"	"1/2"	"2p6.8s"	"2S"	"1/2"		"c31"	"L7414"	
"317.5783"	"317.5784"	"7"	"6.81e+06"	"5.15e-03"	"-1.686"	B	"80650.02"	"112129.20"	"2p6.4p"	"2P*"	"3/2"	"2p6.8s"	"2S"	"1/2"		"c31"	"L7414"	
"353.4972"	"353.4970"	"7"	"5.80e+06"	"2.17e-02"	"-1.363"	B+	"80619.50"	"108900.20"	"2p6.4p"	"2P*"	"1/2"	"2p6.6d"	"2D"	"3/2"		"c31"	"L7414"	
""	"353.8789"	""	"1.15e+06"	"2.15e-03"	"-2.066"	B+	"80650.02"	"108900.20"	"2p6.4p"	"2P*"	"3/2"	"2p6.6d"	"2D"	"3/2"		"c31"	""	
"353.8813"	"353.8812"	"8"	"6.90e+06"	"1.94e-02"	"-1.110"	A	"80650.02"	"108900.02"	"2p6.4p"	"2P*"	"3/2"	"2p6.6d"	"2D"	"5/2"		"c31"	"L7414"	
"354.9516"	"354.9513"	"7"	"5.64e+06"	"1.07e-02"	"-1.670"	B	"80619.50"	"108784.33"	"2p6.4p"	"2P*"	"1/2"	"2p6.7s"	"2S"	"1/2"		"c31"	"L7414"	
"355.3366"	"355.3364"	"8"	"1.12e+07"	"1.07e-02"	"-1.369"	B	"80650.02"	"108784.33"	"2p6.4p"	"2P*"	"3/2"	"2p6.7s"	"2S"	"1/2"		"c31"	"L7414"	
"361.3781"	"361.3780"	"4"	"1.79e+05"	"7.03e-04"	"-2.852"	C+	"69804.95"	"97468.92"	"2p6.4s"	"2S"	"1/2"	"2p6.5p"	"2P*"	"3/2"		"c31,T6870"	"L7414"	
"361.5583"	"361.5583"	"3"	"1.56e+05"	"3.06e-04"	"-3.213"	C+	"69804.95"	"97455.12"	"2p6.4s"	"2S"	"1/2"	"2p6.5p"	"2P*"	"1/2"		"c31,T6870"	"L7414"	
"384.8209"	"384.8211"	"8"	"2.96e+06"	"4.38e-03"	"-1.580"	A	"71490.19"	"97468.92"	"2p6.3d"	"2D"	"5/2"	"2p6.5p"	"2P*"	"3/2"		"c31,T6870"	"L7414"	
"384.8335"	"384.8340"	"5bl"	"3.29e+05"	"7.31e-04"	"-2.534"	B+	"71491.06"	"97468.92"	"2p6.3d"	"2D"	"3/2"	"2p6.5p"	"2P*"	"3/2"		"c31,T6870"	"L6095"	
"385.0385"	"385.0386"	"7"	"3.24e+06"	"3.60e-03"	"-1.842"	A	"71491.06"	"97455.12"	"2p6.3d"	"2D"	"3/2"	"2p6.5p"	"2P*"	"1/2"		"c31,T6870"	"L7414"	
""	"436.854"	""	"2.46e+05"	"4.70e-04"	"-2.550"	D	"93310.59"	"[116195.1]"	"2p6.4d"	"2D"	"5/2"	"2p6.10p"	"2P*"	"3/2"		"c59,LS"	""	
""	"436.864"	""	"2.74e+04"	"7.84e-05"	"-3.504"	E	"93311.11"	"[116195.1]"	"2p6.4d"	"2D"	"3/2"	"2p6.10p"	"2P*"	"3/2"		"c59,LS"	""	
""	"436.891"	""	"2.74e+05"	"3.92e-04"	"-2.805"	E	"93311.11"	"[116193.7]"	"2p6.4d"	"2D"	"3/2"	"2p6.10p"	"2P*"	"1/2"		"c59,LS"	""	
"438.4637"	"438.4637"	"9"	"1.45e+07"	"8.38e-02"	"-0.776"	A	"80619.50"	"103420.00"	"2p6.4p"	"2P*"	"1/2"	"2p6.5d"	"2D"	"3/2"		"c31,T6870"	"L7414"	
""	"439.0514"	""	"2.88e+06"	"8.32e-03"	"-1.478"	A	"80650.02"	"103420.00"	"2p6.4p"	"2P*"	"3/2"	"2p6.5d"	"2D"	"3/2"		"c31,T6870"	""	
"439.0564"	"439.0572"	"10"	"1.73e+07"	"7.50e-02"	"-0.523"	A	"80650.02"	"103419.70"	"2p6.4p"	"2P*"	"3/2"	"2p6.5d"	"2D"	"5/2"		"c31,T6870"	"L7414"	
"442.7994"	"442.7994"	"8"	"1.05e+07"	"3.10e-02"	"-1.208"	A	"80619.50"	"103196.75"	"2p6.4p"	"2P*"	"1/2"	"2p6.6s"	"2S"	"1/2"		"c31"	"L7414"	
"443.3990"	"443.3988"	"9"	"2.10e+07"	"3.10e-02"	"-0.907"	A	"80650.02"	"103196.75"	"2p6.4p"	"2P*"	"3/2"	"2p6.6s"	"2S"	"1/2"		"c31"	"L7414"	
"443.6486"	"443.6491"	"5"	"6.38e+06"	"2.51e-02"	"-0.822"	B+	"93310.59"	"115844.60"	"2p6.4d"	"2D"	"5/2"	"2p6.9f"	"2F*"	"7/2"		"c31"	"L7414"	
""	"443.6491"	""	"4.25e+05"	"1.26e-03"	"-2.121"	B	"93310.59"	"115844.60"	"2p6.4d"	"2D"	"5/2"	"2p6.9f"	"2F*"	"5/2"		"c31"	""	
"443.6598"	"443.6593"	"4"	"5.95e+06"	"2.64e-02"	"-0.976"	B+	"93311.11"	"115844.60"	"2p6.4d"	"2D"	"3/2"	"2p6.9f"	"2F*"	"5/2"		"c31"	"L7414"	
"448.1130"	"448.1126"	"14"	"2.33e+08"	"9.35e-01"	"0.749"	A	"71490.19"	"93799.75"	"2p6.3d"	"2D"	"5/2"	"2p6.4f"	"2F*"	"7/2"		"c31,c23"	"L7414"	
""	"448.1150"	""	"1.55e+07"	"4.67e-02"	"-0.553"	A	"71490.19"	"93799.63"	"2p6.3d"	"2D"	"5/2"	"2p6.4f"	"2F*"	"5/2"		"c31,c23"	""	
"448.1327"	"448.1325"	"13"	"2.17e+08"	"9.81e-01"	"0.594"	A	"71491.06"	"93799.63"	"2p6.3d"	"2D"	"3/2"	"2p6.4f"	"2F*"	"5/2"		"c31,c23"	"L7414"	
""	"452.1938"	""	"5.58e+03"	"3.42e-05"	"-4.165"	C	"92790.51"	"114898.72"	"2p6.5s"	"2S"	"1/2"	"2p6.9p"	"2P*"	"3/2"		"c31"	""	
""	"452.2333"	""	"6.83e+03"	"2.10e-05"	"-4.377"	C	"92790.51"	"114896.79"	"2p6.5s"	"2S"	"1/2"	"2p6.9p"	"2P*"	"1/2"		"c31"	""	
""	"454.5253"	""	"1.15e+05"	"2.38e-04"	"-2.845"	C+	"93799.63"	"115794.44"	"2p6.4f"	"2F*"	"5/2"	"2p6.9d"	"2D"	"3/2"		"c31"	""	
""	"454.5263"	""	"5.47e+03"	"1.70e-05"	"-3.991"	C	"93799.63"	"115794.39"	"2p6.4f"	"2F*"	"5/2"	"2p6.9d"	"2D"	"5/2"		"c31"	""	
""	"454.5288"	""	"1.10e+05"	"2.55e-04"	"-2.690"	C+	"93799.75"	"115794.39"	"2p6.4f"	"2F*"	"7/2"	"2p6.9d"	"2D"	"5/2"		"c31"	""	
""	"458.1474"	""	"1.95e-06"	"4.09e-15"	"-13.61"	E	"71490.19"	"93311.11"	"2p6.3d"	"2D"	"5/2"	"2p6.4d"	"2D"	"3/2"	M1	"c28"	""	
""	"458.1474"	""	"2.36e+01"	"4.95e-08"	"-6.53"	A	"71490.19"	"93311.11"	"2p6.3d"	"2D"	"5/2"	"2p6.4d"	"2D"	"3/2"	E2	"c28"	""	
""	"458.1584"	""	"2.03e-05"	"6.39e-14"	"-12.42"	E	"71490.19"	"93310.59"	"2p6.3d"	"2D"	"5/2"	"2p6.4d"	"2D"	"5/2"	M1	"c28"	""	
""	"458.1584"	""	"6.30e+01"	"1.98e-07"	"-5.93"	A	"71490.19"	"93310.59"	"2p6.3d"	"2D"	"5/2"	"2p6.4d"	"2D"	"5/2"	E2	"c28"	""	
""	"458.1657"	""	"5.42e-06"	"1.71e-14"	"-13.16"	E	"71491.06"	"93311.11"	"2p6.3d"	"2D"	"3/2"	"2p6.4d"	"2D"	"3/2"	M1	"c28"	""	
""	"458.1657"	""	"5.51e+01"	"1.73e-07"	"-6.16"	A	"71491.06"	"93311.11"	"2p6.3d"	"2D"	"3/2"	"2p6.4d"	"2D"	"3/2"	E2	"c28"	""	
""	"458.1766"	""	"3.74e-07"	"1.77e-15"	"-14.15"	E	"71491.06"	"93310.59"	"2p6.3d"	"2D"	"3/2"	"2p6.4d"	"2D"	"5/2"	M1	"c28"	""	
""	"458.1766"	""	"1.57e+01"	"7.42e-08"	"-6.53"	A	"71491.06"	"93310.59"	"2p6.3d"	"2D"	"3/2"	"2p6.4d"	"2D"	"5/2"	E2	"c28"	""	
"463.0878"	"463.0878"	"2"	"2.75e+05"	"5.89e-04"	"-2.452"	B	"93310.59"	"114898.72"	"2p6.4d"	"2D"	"5/2"	"2p6.9p"	"2P*"	"3/2"		"c31"	"L7414"	
""	"463.0990"	""	"3.06e+04"	"9.85e-05"	"-3.405"	C	"93311.11"	"114898.72"	"2p6.4d"	"2D"	"3/2"	"2p6.9p"	"2P*"	"3/2"		"c31"	""	
"463.1405"	"463.1404"	"1"	"3.01e+05"	"4.84e-04"	"-2.713"	C+	"93311.11"	"114896.79"	"2p6.4d"	"2D"	"3/2"	"2p6.9p"	"2P*"	"1/2"		"c31"	"L7414"	
"473.9588"	"473.9593"	"6"	"8.09e+06"	"3.63e-02"	"-0.662"	B+	"93310.59"	"114403.55"	"2p6.4d"	"2D"	"5/2"	"2p6.8f"	"2F*"	"7/2"		"c31"	"L7414"	
""	"473.9593"	""	"5.39e+05"	"1.82e-03"	"-1.962"	B	"93310.59"	"114403.55"	"2p6.4d"	"2D"	"5/2"	"2p6.8f"	"2F*"	"5/2"		"c31"	""	
"473.9712"	"473.9709"	"5"	"7.55e+06"	"3.82e-02"	"-0.816"	B+	"93311.11"	"114403.55"	"2p6.4d"	"2D"	"3/2"	"2p6.8f"	"2F*"	"5/2"		"c31"	"L7414"	
""	"486.8837"	""	"7.10e+03"	"2.52e-05"	"-3.820"	C	"93799.63"	"114332.68"	"2p6.4f"	"2F*"	"5/2"	"2p6.8d"	"2D"	"5/2"		"c31"	""	
"486.8845"	"486.8823"	"2*"	"1.50e+05"	"3.55e-04"	"-2.672"	C+	"93799.63"	"114332.74"	"2p6.4f"	"2F*"	"5/2"	"2p6.8d"	"2D"	"3/2"		"c31"	"L7414"	
"486.8845"	"486.8866"	"2*"	"1.41e+05"	"3.75e-04"	"-2.523"	C+	"93799.75"	"114332.68"	"2p6.4f"	"2F*"	"7/2"	"2p6.8d"	"2D"	"5/2"		"c31"	"L7414"	
""	"493.8703"	""	"1.33e+03"	"9.72e-06"	"-4.711"	D+	"92790.51"	"113033.09"	"2p6.5s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"3/2"		"c31"	""	
""	"493.9396"	""	"2.11e+03"	"7.73e-06"	"-4.811"	D+	"92790.51"	"113030.25"	"2p6.5s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"1/2"		"c31"	""	
"506.8937"	"506.8938"	"4"	"3.97e+05"	"1.02e-03"	"-2.213"	B	"93310.59"	"113033.09"	"2p6.4d"	"2D"	"5/2"	"2p6.8p"	"2P*"	"3/2"		"c31"	"L7414"	
""	"506.9072"	""	"4.43e+04"	"1.71e-04"	"-3.165"	C+	"93311.11"	"113033.09"	"2p6.4d"	"2D"	"3/2"	"2p6.8p"	"2P*"	"3/2"		"c31"	""	
"506.9802"	"506.9802"	"3"	"4.35e+05"	"8.39e-04"	"-2.474"	B	"93311.11"	"113030.25"	"2p6.4d"	"2D"	"3/2"	"2p6.8p"	"2P*"	"1/2"		"c31"	"L7414"	
""	"515.7628"	""	"4.37e+05"	"3.49e-03"	"-2.156"	D	"97455.12"	"116838.48"	"2p6.5p"	"2P*"	"1/2"	"2p6.10d"	"2D"	"3/2"		"c59,LS"	""	
""	"516.1302"	""	"8.73e+04"	"3.49e-04"	"-2.855"	E	"97468.92"	"116838.48"	"2p6.5p"	"2P*"	"3/2"	"2p6.10d"	"2D"	"3/2"		"c59,LS"	""	
""	"516.1310"	""	"5.24e+05"	"3.14e-03"	"-1.901"	D	"97468.92"	"116838.45"	"2p6.5p"	"2P*"	"3/2"	"2p6.10d"	"2D"	"5/2"		"c59,LS"	""	
"526.4215"	"526.4220"	"8"	"1.27e+07"	"7.05e-02"	"-0.374"	B+	"93310.59"	"112301.47"	"2p6.4d"	"2D"	"5/2"	"2p6.7f"	"2F*"	"7/2"		"c31"	"L7414"	
""	"526.4220"	""	"8.47e+05"	"3.52e-03"	"-1.675"	B	"93310.59"	"112301.47"	"2p6.4d"	"2D"	"5/2"	"2p6.7f"	"2F*"	"5/2"		"c31"	""	
"526.4368"	"526.4364"	"7"	"1.19e+07"	"7.40e-02"	"-0.529"	B+	"93311.11"	"112301.47"	"2p6.4d"	"2D"	"3/2"	"2p6.7f"	"2F*"	"5/2"		"c31"	"L7414"	
""	"543.4034"	""	"1.16e+04"	"5.15e-05"	"-3.510"	C	"93799.63"	"112197.05"	"2p6.4f"	"2F*"	"5/2"	"2p6.7d"	"2D"	"5/2"		"c31"	""	
"543.4039"	"543.3999"	"4*"	"2.45e+05"	"7.24e-04"	"-2.362"	B	"93799.63"	"112197.17"	"2p6.4f"	"2F*"	"5/2"	"2p6.7d"	"2D"	"3/2"		"c31"	"L7414"	
"543.4039"	"543.4070"	"4*"	"2.33e+05"	"7.74e-04"	"-2.208"	B	"93799.75"	"112197.05"	"2p6.4f"	"2F*"	"7/2"	"2p6.7d"	"2D"	"5/2"		"c31"	"L7414"	
"545.1259"	"545.1250"	"1"	"1.03e+06"	"9.14e-03"	"-1.738"	B	"97455.12"	"115794.44"	"2p6.5p"	"2P*"	"1/2"	"2p6.9d"	"2D"	"3/2"		"c31"	"L7414"	
""	"545.5355"	""	"2.03e+05"	"9.04e-04"	"-2.442"	B	"97468.92"	"115794.44"	"2p6.5p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"3/2"		"c31"	""	
""	"545.5370"	""	"1.22e+06"	"8.17e-03"	"-1.486"	B+	"97468.92"	"115794.39"	"2p6.5p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"5/2"		"c31"	""	
"546.0019"	"546.0018"	"1"	"1.11e+06"	"4.98e-03"	"-2.002"	B+	"97455.12"	"115764.99"	"2p6.5p"	"2P*"	"1/2"	"2p6.10s"	"2S"	"1/2"		"c31"	"L7414"	
"546.4136"	"546.4136"	"2"	"2.22e+06"	"4.97e-03"	"-1.702"	B+	"97468.92"	"115764.99"	"2p6.5p"	"2P*"	"3/2"	"2p6.10s"	"2S"	"1/2"		"c31"	"L7414"	
""	"573.977"	""	"5.25e+03"	"5.19e-05"	"-3.984"	C	"92790.51"	"110207.99"	"2p6.5s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"3/2"		"c31"	""	
""	"574.122"	""	"3.67e+03"	"1.81e-05"	"-4.441"	C	"92790.51"	"110203.58"	"2p6.5s"	"2S"	"1/2"	"2p6.7p"	"2P*"	"1/2"		"c31"	""	
