obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"330.2369"	"0.0005"	"330.23686"	"0.00022"	"19"	"2.75e+06"	"9.00e-03"	"-1.745"	A	"0.00000"	"30272.58"	"2p6.3s"	"2S"	"1/2"	"2p6.4p"	"2P*"	"3/2"		"c30,T76n"	"L6096"	
"330.2979"	"0.0005"	"330.29785"	"0.00022"	"18"	"2.73e+06"	"4.46e-03"	"-2.050"	B+	"0.00000"	"30266.99"	"2p6.3s"	"2S"	"1/2"	"2p6.4p"	"2P*"	"1/2"		"c30,T76n"	"L6096"	
"341.62"	"0.02"	"341.607"	"0.011"	""	"1.5e+07"	"2.6e-02"	"-0.98"	D	"263745.3"	"293010.3"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"3/2"		"T5209"	"L6269"	
"342.73"	"0.02"	"342.736"	"0.011"	"9"	"2.8e+07"	"7.4e-02"	"-0.53"	D	"263745.3"	"292913.9"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4F*"	"5/2"		"T5209"	"L6269"	
"348.90"	"0.02"	"348.890"	"0.009"	"130"	"4.2e+07"	"1.2e-01"	"-0.32"	D	"263745.3"	"292399.4"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
"350.25"	"0.02"	"350.237"	"0.010"	"160"	"8.8e+07"	"1.6e-01"	"-0.19"	D	"263745.3"	"292289.2"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"3/2"		"T5209"	"L6269"	
"351.10"	"0.02"	"351.093"	"0.010"	"130"	"1.15e+08"	"1.06e-01"	"-0.373"	D	"263745.3"	"292219.6"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4P*"	"1/2"		"T5209"	"L6269"	
"384.80"	"0.02"	"384.802"	"0.013"	"5"	"2.8e+07"	"6.2e-02"	"-0.43"	D	"266933.9"	"292913.9"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	"2p5.3s.(3P*).3d"	"4F*"	"5/2"		"T5209"	"L6269"	
"386.55"	"0.02"	"386.543"	"0.013"	"130"	"5.8e+07"	"1.3e-01"	"0.02"	D	"266586.7"	"292449.7"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).3d"	"4F*"	"7/2"		"T5209"	"L6269"	
"387.29"	"0.02"	"387.296"	"0.011"	"19"	"1.2e+07"	"2.0e-02"	"-0.80"	D	"266586.7"	"292399.4"	"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"		"T5209"	"L6269"	
