obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
""	"329.89896"	""	"1.43e+05"	"7.78e-05"	"-3.632"	D	"99680.968"	"129984.553"	"2s2.2p3.(4S*).4p"	"3P"	"1"	"2s2.2p3.(2D*<3/2>).4d"	"3P*"	"0"		"T5713LS"	""	
""	"329.95525"	""	"3.57e+04"	"5.83e-05"	"-3.757"	D	"99680.968"	"129979.384"	"2s2.2p3.(4S*).4p"	"3P"	"1"	"2s2.2p3.(2D*<3/2>).4d"	"3P*"	"1"		"T5713LS"	""	
""	"329.95613"	""	"5.95e+04"	"5.83e-05"	"-3.535"	C	"99681.049"	"129979.384"	"2s2.2p3.(4S*).4p"	"3P"	"2"	"2s2.2p3.(2D*<3/2>).4d"	"3P*"	"1"		"T5713LS"	""	
""	"329.95896"	""	"4.76e+04"	"2.33e-04"	"-3.632"	D	"99681.309"	"129979.384"	"2s2.2p3.(4S*).4p"	"3P"	"0"	"2s2.2p3.(2D*<3/2>).4d"	"3P*"	"1"		"T5713LS"	""	
""	"330.05748"	""	"3.57e+04"	"9.72e-05"	"-3.535"	C	"99680.968"	"129970.000"	"2s2.2p3.(4S*).4p"	"3P"	"1"	"2s2.2p3.(2D*<3/2>).4d"	"3P*"	"2"		"T5713LS"	""	
""	"330.05836"	""	"1.07e+05"	"1.75e-04"	"-3.058"	C	"99681.049"	"129970.000"	"2s2.2p3.(4S*).4p"	"3P"	"2"	"2s2.2p3.(2D*<3/2>).4d"	"3P*"	"2"		"T5713LS"	""	
""	"332.621"	""	"2.17e+05"	"3.60e-04"	"-2.966"	C	"99680.968"	"129736.6"	"2s2.2p3.(4S*).4p"	"3P"	"1"	"2s2.2p3.(2D*<3/2>).4d"	"3S*"	"1"		"T5803"	""	
""	"332.622"	""	"3.64e+05"	"3.62e-04"	"-2.742"	C+	"99681.049"	"129736.6"	"2s2.2p3.(4S*).4p"	"3P"	"2"	"2s2.2p3.(2D*<3/2>).4d"	"3S*"	"1"		"T5803"	""	
""	"332.624"	""	"7.22e+04"	"3.59e-04"	"-3.444"	C	"99681.309"	"129736.6"	"2s2.2p3.(4S*).4p"	"3P"	"0"	"2s2.2p3.(2D*<3/2>).4d"	"3S*"	"1"		"T5803"	""	
""	"332.993"	""	"1.10e+04"	"1.83e-05"	"-4.261"	D	"99680.968"	"129703.0"	"2s2.2p3.(4S*).4p"	"3P"	"1"	"2s2.2p3.(2D*<5/2>).4d"	"3D*"	"1"		"T5803"	""	
""	"332.997"	""	"1.45e+04"	"7.24e-05"	"-4.141"	D	"99681.309"	"129703.0"	"2s2.2p3.(4S*).4p"	"3P"	"0"	"2s2.2p3.(2D*<5/2>).4d"	"3D*"	"1"		"T5803"	""	
""	"333.054"	""	"2.01e+04"	"5.57e-05"	"-3.777"	D	"99680.968"	"129697.5"	"2s2.2p3.(4S*).4p"	"3P"	"1"	"2s2.2p3.(2D*<5/2>).4d"	"3D*"	"2"		"T5803"	""	
""	"333.055"	""	"6.72e+03"	"1.12e-05"	"-4.253"	D	"99681.049"	"129697.5"	"2s2.2p3.(4S*).4p"	"3P"	"2"	"2s2.2p3.(2D*<5/2>).4d"	"3D*"	"2"		"T5803"	""	
""	"333.113"	""	"2.81e+04"	"6.55e-05"	"-3.485"	D	"99681.049"	"129692.3"	"2s2.2p3.(4S*).4p"	"3P"	"2"	"2s2.2p3.(2D*<5/2>).4d"	"3D*"	"3"		"T5803"	""	
