obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	fik	log_gf	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"320.387"	"320.3872"	"100w"	"4.45e+07"	"1.37e-01"	"-0.562"	C+	"81191.34"	"112394.56"	"3s2.4p"	"2P*"	"1/2"	"3s2.5d"	"2D"	"3/2"		"T7166"	"L3541"	
"321.003"	"321.0026"	"200w"	"5.29e+07"	"1.23e-01"	"-0.308"	C+	"81251.32"	"112394.72"	"3s2.4p"	"2P*"	"3/2"	"3s2.5d"	"2D"	"5/2"		"T7166"	"L3541"	
""	"321.0042"	""	"8.82e+06"	"1.36e-02"	"-1.264"	C	"81251.32"	"112394.56"	"3s2.4p"	"2P*"	"3/2"	"3s2.5d"	"2D"	"3/2"		"T7166"	""	
"333.314"	"333.3139"	"300"	"1.00e+07"	"1.67e-02"	"-1.476"	C	"81191.34"	"111184.46"	"3s2.4p"	"2P*"	"1/2"	"3s2.6s"	"2S"	"1/2"		"T6570"	"L3541"	
"333.982"	"333.9818"	"500"	"2.00e+07"	"1.67e-02"	"-1.175"	C+	"81251.32"	"111184.46"	"3s2.4p"	"2P*"	"3/2"	"3s2.6s"	"2S"	"1/2"		"T6570"	"L3541"	
""	"348.3941"	""	"9.93e-03"	"1.81e-11"	"-10.14"	D	"55309.35"	"84004.26"	"3s.3p2"	"2D"	"3/2"	"3s.3p2"	"2P"	"3/2"	M1	"c22"	""	
""	"348.5864"	""	"5.64e-03"	"6.85e-12"	"-10.39"	D	"55325.18"	"84004.26"	"3s.3p2"	"2D"	"5/2"	"3s.3p2"	"2P"	"3/2"	M1	"c22"	""	
""	"350.8680"	""	"6.22e-03"	"5.74e-12"	"-10.64"	D	"55309.35"	"83801.95"	"3s.3p2"	"2D"	"3/2"	"3s.3p2"	"2P"	"1/2"	M1	"c22"	""	
"385.366"	"385.3665"	"100w"	"5.11e+06"	"1.14e-02"	"-1.341"	C	"55309.35"	"81251.32"	"3s.3p2"	"2D"	"3/2"	"3s2.4p"	"2P*"	"3/2"		"c22,T7222"	"L3541"	
"385.602"	"385.6018"	"500w"	"4.40e+07"	"6.54e-02"	"-0.406"	C+	"55325.18"	"81251.32"	"3s.3p2"	"2D"	"5/2"	"3s2.4p"	"2P*"	"3/2"		"c22,T7222"	"L3541"	
"386.260"	"386.2595"	"200w"	"3.91e+07"	"4.37e-02"	"-0.757"	C+	"55309.35"	"81191.34"	"3s.3p2"	"2D"	"3/2"	"3s2.4p"	"2P*"	"1/2"		"c22,T7222"	"L3541"	
""	"407.2709"	""	"2.00e+05"	"4.98e-04"	"-2.701"	C	"79338.50"	"103885.25"	"3s2.3d"	"2D"	"3/2"	"3s2.5p"	"2P*"	"3/2"		"T7222"	""	
"407.545"	"407.5452"	"20w"	"4.00e+06"	"6.64e-03"	"-1.400"	C+	"79355.02"	"103885.25"	"3s2.3d"	"2D"	"5/2"	"3s2.5p"	"2P*"	"3/2"		"T7222"	"L3541"	
